iter	Passed	Remaining
1518	14199	4496
1519	14207	4486
1520	14215	4476
1521	14224	4467
1522	14232	4457
1523	14240	4447
1524	14248	4438
1525	14256	4428
1526	14264	4418
1527	14272	4408
1528	14279	4398
1529	14286	4388
1530	14293	4378
1531	14301	4368
1532	14309	4359
1533	14317	4349
1534	14324	4339
1535	14331	4329
1536	14339	4319
1537	14347	4309
1538	14356	4300
1539	14363	4290
1540	14371	4280
1541	14378	4270
1542	14385	4260
1543	14394	4251
1544	14404	4242
1545	14412	4232
1546	14420	4222
1547	14429	4213
1548	14438	4203
1549	14445	4193
1550	14452	4183
1551	14461	4174
1552	14470	4164
1553	14478	4155
1554	14485	4145
1555	14493	4135
1556	14501	4125
1557	14509	4116
1558	14517	4106
1559	14525	4096
1560	14533	4087
1561	14541	4077
1562	14549	4067
1563	14557	4058
1564	14565	4048
1565	14573	4038
1566	14582	4029
1567	14589	4019
1568	14598	4010
1569	14606	4000
1570	14614	3990
1571	14622	3981
1572	14631	3971
1573	14662	3968
1574	14672	3959
1575	14680	3949
1576	14688	3939
1577	14695	3930
1578	14703	3920
1579	14711	3910
1580	14719	3901
1581	14728	3891
1582	14736	3881
1583	14743	3872
1584	14751	3862
1585	14760	3852
1586	14767	3843
1587	14775	3833
1588	14783	3823
1589	14791	3814
1590	14799	3804
1591	14809	3795
1592	14817	3785
1593	14825	3776
1594	14833	3766
1595	14843	3757
1596	14850	3747
1597	14858	3737
1598	14865	3728
1599	14874	3718
1600	14883	3709
1601	14891	3699
1602	14899	3690
1603	14907	3680
1604	14915	3670
1605	14925	3661
1606	14932	3651
1607	14940	3642
1608	14948	3632
1609	14955	3622
1610	14964	3613
1611	14971	3603
1612	14979	3593
1613	14986	3584
1614	14994	3574
1615	15003	3565
1616	15011	3555
1617	15018	3545
1618	15026	3536
1619	15033	3526
1620	15041	3516
1621	15048	3507
1622	15056	3497
1623	15063	3487
1624	15071	3478
1625	15080	3468
1626	15089	3459
1627	15098	3449
1628	15107	3440
1629	15117	3431
1630	15128	3422
1631	15138	3413
1632	15147	3404
1633	15158	3395
1634	15169	3386
1635	15180	3377
1636	15191	3368
1637	15201	3359
1638	15211	3350
1639	15220	3341
1640	15230	3331
1641	15240	3322
1642	15251	3313
1643	15261	3304
1644	15270	3295
1645	15280	3286
1646	15291	3277
1647	15302	3268
1648	15312	3259
1649	15322	3250
1650	15332	3241
1651	15342	3231
1652	15353	3222
1653	15363	3213
1654	15373	3204
1655	15384	3195
1656	15394	3186
1657	15404	3177
1658	15435	3172
1659	15451	3164
1660	15461	3155
1661	15471	3146
1662	15481	3137
1663	15491	3128
1664	15502	3119
1665	15511	3109
1666	15520	3100
1667	15530	3091
1668	15540	3082
1669	15550	3072
1670	15560	3063
